Name,Pos,Age
Cedi Osman,SF,22
Kelly Oubre,SF,22
Zaza Pachulia,C,33
Marcus Paige,PG,24
Georgios Papagiannis,C,20
Jabari Parker,PF,22
Tony Parker,PG,35
Chandler Parsons,SF,29
Patrick Patterson,PF,28
Justin Patton,C,20
Brandon Paul,SG,26
Chris Paul,PG,32
Adreian Payne,PF,26
Cameron Payne,PG,23
Elfrid Payton,PG,23
Gary Payton,PG,25
Kendrick Perkins,C,33
London Perrantes,PG,23
Alec Peters,PF,22
Marshall Plumlee,C,25
Mason Plumlee,C,27
Miles Plumlee,C,29
Jakob Poeltl,C,22
Quincy Pondexter,SF,29
Otto Porter,SF,24
Bobby Portis,PF,22
Kristaps Porzingis,PF,22
Dwight Powell,C,26
Norman Powell,SG,24
Alex Poythress,PF,24
Jacob Pullen,PG,28
Rodney Purvis,SG,23
Zhou Qi,C,22
Tim Quarterman,SG,23
Ivan Rabb,PF,20
Julius Randle,C,23
Zach Randolph,PF,36
Xavier Rathan-Mayes,SG,23
J.J. Redick,SG,33
Davon Reed,SG,22
Willie Reed,C,27
Josh Richardson,SF,24
Malachi Richardson,SG,22
Austin Rivers,SG,25
Andre Roberson,SG,26
Devin Robinson,SF,22
Glenn Robinson,SF,24
Rajon Rondo,PG,31
Derrick Rose,PG,29
Terrence Ross,SG,26
Terry Rozier,PG,23
Ricky Rubio,PG,27
D'Angelo Russell,PG,21
Domantas Sabonis,C,21
JaKarr Sampson,SF,24
Dario Saric,PF,23
Tomas Satoransky,SG,26
Dennis Schroder,PG,24
Mike Scott,PF,29
Thabo Sefolosha,SF,33
Wayne Selden,SG,23
Ramon Sessions,PG,31
Iman Shumpert,SG,27
Pascal Siakam,PF,23
Xavier Silas,SG,30
Ben Simmons,PG,21
Jonathon Simmons,SG,28
Kobi Simmons,PG,20
Kyle Singler,SF,29
Marcus Smart,SG,23
Dennis Smith,PG,20
Ish Smith,PG,29
J.R. Smith,SG,32
Jason Smith,C,31
Josh Smith,PF,32
Tony Snell,SG,26
Marreese Speights,C,30
Nik Stauskas,SG,24
Lance Stephenson,SG,27
David Stockton,PG,26
Julyan Stone,SG,29
Edmond Sumner,PG,22
Caleb Swanigan,PF,20
Jayson Tatum,SF,19
Isaiah Taylor,PG,23
Jeff Teague,PG,29
Marquis Teague,PG,24
Mirza Teletovic,PF,32
Garrett Temple,SG,31
Milos Teodosic,PG,30
Jason Terry,SG,40
Daniel Theis,C,25
Isaiah Thomas,PG,28
Lance Thomas,PF,29
Klay Thompson,SG,27
Tristan Thompson,C,26
Sindarius Thornwell,SG,23
Anthony Tolliver,PF,32
Karl-Anthony Towns,C,22
P.J. Tucker,PF,32
Evan Turner,SF,29
Myles Turner,C,21
Ekpe Udoh,C,30
Tyler Ulis,PG,22
Jonas Valanciunas,C,25
Denzel Valentine,SG,24
Fred VanVleet,PG,23
Rashad Vaughn,SG,21
Noah Vonleh,PF,22
Nikola Vucevic,C,27
Dwyane Wade,SG,36
Dion Waiters,SG,26
Kemba Walker,PG,27
John Wall,PG,27
Tyrone Wallace,PG,23
Taurean Waller-Prince,SF,23
Derrick Walton,PG,22
Jameel Warney,PF,24
T.J. Warren,SF,24
Travis Wear,SF,27
James Webb,SF,24
Briante Weber,PG,25
David West,C,37
Russell Westbrook,PG,29
Andrew White,SF,24
Derrick White,PG,23
Okaro White,PF,25
Isaiah Whitehead,PG,22
Hassan Whiteside,C,28
Andrew Wiggins,SF,22
Jacob Wiley,PF,23
Damien Wilkins,SF,38
Alan Williams,PF,25
C.J. Williams,SG,27
Derrick Williams,PF,26
Lou Williams,SG,31
Marvin Williams,PF,31
Matt Williams,SG,24
Troy Williams,SF,23
D.J. Wilson,PF,21
Jamil Wilson,SF,27
Justise Winslow,PF,21
Jeff Withey,C,27
Nate Wolters,PG,26
Brandan Wright,PF,30
Delon Wright,PG,25
Guerschon Yabusele,PF,22
James Young,SG,22
Joe Young,PG,25
Nick Young,SG,32
Thaddeus Young,PF,29
Cody Zeller,C,25
Tyler Zeller,C,28
Paul Zipser,SF,23
Ante Zizic,C,21
Ivica Zubac,C,20
